payload,latency
0.000,53.660
1.000,54.080
2.000,58.470
2.900,56.890
3.900,58.470
4.900,59.960
5.900,59.960
6.800,64.750
7.800,64.750
8.800,64.750
9.800,64.750
10.700,65.360
11.700,67.350
12.700,67.590
13.700,74.750
14.600,71.470
15.600,74.750
16.600,74.750
17.600,74.750
18.600,71.470
19.500,73.640
20.500,74.750
21.500,74.750
22.500,73.640
23.400,76.750
24.400,76.750
25.400,80.120
26.400,76.890
27.300,76.890
28.300,85.910
29.300,85.910
30.300,83.810
31.200,85.910
32.200,86.750
33.200,86.920
34.200,87.110
35.200,87.110
36.100,87.110
37.100,90.600
38.100,90.700
39.100,90.700
40.000,92.350
41.000,93.970
42.000,93.850
43.000,93.970
43.900,97.210
44.900,97.610
45.900,97.210
46.900,97.610
47.900,99.740
48.800,100.750
49.800,101.190
50.800,102.070
51.800,102.470
52.700,102.470
53.700,102.470
54.700,103.040
55.700,104.700
56.600,106.100
57.600,106.100
58.600,106.450
59.600,107.160
60.500,107.160
61.500,107.520
62.500,107.520
